time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_pos_joint_7	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_vel_joint_7	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_acc_joint_7	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_pos_joint_7	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_vel_joint_7	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_acc_joint_7	desired_time_from_start
1504604819.769213914	0.00613592	0.771592	-0.794602	0.0107379	0.816078	-1.58767	-0.0107379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.790321111	0.00613592	0.771592	-0.794602	0.00920388	0.816078	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.809106111	0.00613592	0.771592	-0.794602	0.00920388	0.816078	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.829355001	0.00613592	0.773126	-0.794602	0.00920388	0.814544	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.849136114	0.00613592	0.771592	-0.794602	0.00920388	0.816078	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.869189023	0.00613592	0.771592	-0.794602	0.00920388	0.814544	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.889178037	0.00613592	0.771592	-0.794602	0.00920388	0.814544	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.909142017	0.00613592	0.771592	-0.794602	0.00920388	0.816078	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.929061889	0.00613592	0.771592	-0.794602	0.00920388	0.814544	-1.5892	-0.0107379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504604819.949198007	0.00613592	0.771592	-0.794602	0.00920388	0.816078	-1.58767	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	-1.55431e-15	0.788798	-0.788798	2.66454e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
