time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_pos_joint_7	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_vel_joint_7	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_acc_joint_7	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_pos_joint_7	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_vel_joint_7	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_acc_joint_7	desired_time_from_start
1504623346.171497106	0.00153398	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.191107988	0.00153398	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.211019039	0.00306796	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.231019020	0.00306796	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.251036882	0.00306796	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.271004915	0.00306796	0.714835	-0.814544	0.00460194	0.819146	-1.61068	0.0138058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.290985107	0.00306796	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.311017036	0.00306796	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.331073045	0.00153398	0.716369	-0.814544	0.00613592	0.819146	-1.61221	0.0138058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.351306915	0.00153398	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504623346.371567964	0.00153398	0.716369	-0.814544	0.00613592	0.819146	-1.61068	0.0153398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
