time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_pos_joint_7	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_vel_joint_7	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_acc_joint_7	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_pos_joint_7	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_vel_joint_7	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_acc_joint_7	desired_time_from_start
1504602922.189136981	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0107379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.209927082	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.229516983	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.249222993	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.269243001	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.289344072	0.00920388	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.309345960	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.333962917	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.349198102	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504602922.370230913	0.0076699	0.776194	-0.809942	0.00920388	0.785398	-1.61221	-0.0107379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	8.88178e-16	0.788798	-0.788798	8.88178e-16	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
