time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_pos_joint_7	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_vel_joint_7	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_acc_joint_7	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_pos_joint_7	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_vel_joint_7	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_acc_joint_7	desired_time_from_start
1504601791.769217967	0.00613592	0.776194	-0.809942	0.00920388	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.789357900	0.00613592	0.776194	-0.809942	0.00920388	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.809238910	0.00613592	0.776194	-0.809942	0.00920388	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.829349994	0.00613592	0.776194	-0.808408	0.0107379	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.849108934	0.00613592	0.776194	-0.809942	0.0107379	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.869095087	0.00613592	0.776194	-0.809942	0.0107379	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.889265060	0.00613592	0.776194	-0.809942	0.00920388	0.786932	-1.61068	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.909184932	0.00613592	0.776194	-0.809942	0.00920388	0.786932	-1.61068	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.929128885	0.00613592	0.776194	-0.809942	0.00920388	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504601791.949261903	0.00613592	0.776194	-0.809942	0.00920388	0.786932	-1.60915	-0.0122718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	1.11022e-15	0.788798	-0.788798	1.11022e-15	0.828698	-1.5708	8.88178e-16	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
