time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_time_from_start
1504111122.854365110	0.00306796	0.711767	-0.82068	0.00920388	0.800738	-1.64289	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111122.874954938	0.00306796	0.711767	-0.82068	0.00920388	0.800738	-1.64289	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111122.894756078	0.00306796	0.711767	-0.82068	0.00920388	0.799204	-1.64136	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111122.914546966	0.00306796	0.711767	-0.82068	0.00920388	0.800738	-1.64136	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111122.934549093	0.00153398	0.711767	-0.82068	0.00920388	0.800738	-1.64136	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111122.954941987	0.00153398	0.711767	-0.82068	0.00920388	0.800738	-1.64136	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111122.974544048	0.00306796	0.711767	-0.82068	0.00920388	0.800738	-1.64136	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111122.994474887	0.00153398	0.713301	-0.82068	0.00920388	0.799204	-1.64289	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111123.014396905	0.00306796	0.711767	-0.82068	0.00920388	0.800738	-1.64136	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
1504111123.034533977	0.00306796	0.711767	-0.82068	0.00920388	0.800738	-1.64136	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	0	0.828698	-1.5708	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.000000000
